Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Washington Capitals,1995,39,32,0.5492957746478874,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1995,36,40,0.47368421052631576,Canada Life Centre,"Winnipeg, Manitoba",15321
Anaheim Ducks,1996,36,33,0.5217391304347826,Honda Center,"Anaheim, California",17174
Boston Bruins,1996,26,47,0.3561643835616438,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1996,40,30,0.5714285714285714,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1996,32,41,0.4383561643835616,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1996,34,35,0.4927536231884058,United Center,"Chicago, Illinois",19717
Colorado Avalanche,1996,49,24,0.6712328767123288,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,1996,48,26,0.6486486486486487,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1996,38,26,0.59375,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1996,36,37,0.4931506849315068,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1996,35,28,0.5555555555555556,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1996,28,43,0.39436619718309857,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1996,31,36,0.4626865671641791,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1996,45,23,0.6617647058823529,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1996,29,41,0.4142857142857143,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1996,29,41,0.4142857142857143,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1996,38,34,0.5277777777777778,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1996,31,36,0.4626865671641791,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1996,45,24,0.6521739130434783,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1996,38,36,0.5135135135135135,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1996,27,47,0.36486486486486486,SAP Center,"San Jose, California",17562
St. Louis Blues,1996,36,35,0.5070422535211268,Enterprise Center,"St. Louis, Missouri",18724
